order_number,order_date,customer_name,sku_code,quantity,unit_price,discount
SO-MAR-001,2026-03-01,Tata Motors Ltd,B08L5WHFT9,150,49.99,300
SO-MAR-002,2026-03-02,Reliance Retail,B08C1W5N87,8,12999.00,2000
SO-MAR-003,2026-03-03,Wipro Technologies,RAW-PLASTIC-001,800,12.50,500
SO-MAR-004,2026-03-05,Infosys BPO,B08L5WHFT9,200,49.99,400
SO-MAR-005,2026-03-06,Bajaj Auto,RAW-PLASTIC-001,1500,12.50,1000
SO-MAR-006,2026-03-08,Amazon India,B08C1W5N87,12,12999.00,5000
SO-MAR-007,2026-03-10,Flipkart,B08L5WHFT9,300,49.99,600
SO-MAR-008,2026-03-12,GreenPack Solutions,RAW-PLASTIC-001,2000,12.50,1200
SO-MAR-009,2026-03-14,Patel Steel Works,B08C1W5N87,5,12999.00,1500
SO-MAR-010,2026-03-15,Global Parts Inc.,B08L5WHFT9,180,49.99,0
SO-MAR-011,2026-03-17,Craft Collective,RAW-PLASTIC-001,600,12.50,300
SO-MAR-012,2026-03-19,MachineWorld USA,B08C1W5N87,10,12999.00,3000
SO-MAR-013,2026-03-20,Hindustan Unilever,B08L5WHFT9,250,49.99,500
SO-MAR-014,2026-03-22,Larsen & Toubro,RAW-PLASTIC-001,3000,12.50,2000
SO-MAR-015,2026-03-24,Tech Mahindra,B08C1W5N87,6,12999.00,1000
SO-MAR-016,2026-03-25,Hero MotoCorp,B08L5WHFT9,400,49.99,800
SO-MAR-017,2026-03-27,Asian Paints,RAW-PLASTIC-001,1200,12.50,600
SO-MAR-018,2026-03-28,Adani Enterprises,B08C1W5N87,15,12999.00,4000
SO-MAR-019,2026-03-29,Maruti Suzuki,B08L5WHFT9,350,49.99,700
SO-MAR-020,2026-03-31,ITC Limited,RAW-PLASTIC-001,2500,12.50,1500
SO-APR-001,2026-04-01,Tata Consultancy,B08L5WHFT9,280,49.99,500
SO-APR-002,2026-04-02,Sun Pharma,B08C1W5N87,9,12999.00,2500
SO-APR-003,2026-04-03,Mahindra & Mahindra,RAW-PLASTIC-001,1800,12.50,900
SO-APR-004,2026-04-04,Dr. Reddy's Labs,B08L5WHFT9,160,49.99,300
SO-APR-005,2026-04-05,JSW Steel,RAW-PLASTIC-001,2200,12.50,1100
SO-APR-006,2026-04-07,HDFC Bank,B08C1W5N87,7,12999.00,1800
SO-APR-007,2026-04-08,ICICI Bank,B08L5WHFT9,220,49.99,400
SO-APR-008,2026-04-09,Kotak Mahindra,RAW-PLASTIC-001,900,12.50,400
SO-APR-009,2026-04-10,Axis Bank,B08C1W5N87,11,12999.00,3500
SO-APR-010,2026-04-11,State Bank of India,B08L5WHFT9,500,49.99,1000
SO-APR-011,2026-04-12,Power Grid Corp,RAW-PLASTIC-001,1600,12.50,700
SO-APR-012,2026-04-13,NTPC Limited,B08C1W5N87,4,12999.00,800
SO-APR-013,2026-04-14,BHEL,B08L5WHFT9,190,49.99,0
SO-APR-014,2026-04-15,Oil India,RAW-PLASTIC-001,1100,12.50,500
SO-APR-015,2026-04-15,GAIL India,B08C1W5N87,14,12999.00,4500
SO-APR-016,2026-04-16,Coal India,B08L5WHFT9,320,49.99,600
SO-APR-017,2026-04-16,Vedanta Limited,RAW-PLASTIC-001,2800,12.50,1400
SO-APR-018,2026-04-17,Hindustan Zinc,B08C1W5N87,18,12999.00,5500
SO-APR-019,2026-04-17,Cipla Limited,B08L5WHFT9,450,49.99,900
SO-APR-020,2026-04-17,Godrej Consumer,RAW-PLASTIC-001,3500,12.50,2000
